FID,OBJECTID,Join_Count,osm_id,BUFF_DIST,Shape_Leng
366,949,1,99296559,25.000000000000000,0.001526825297850
367,952,8,99297422,25.000000000000000,0.001526574249070
368,953,4,99297423,25.000000000000000,0.001526591098360
369,954,9,99297428,25.000000000000000,0.001526783098700
370,955,9,99297429,25.000000000000000,0.001526583416880
371,956,4,99297434,25.000000000000000,0.001526614586680
372,957,3,99298811,25.000000000000000,0.001526533279250
373,958,1,99299616,25.000000000000000,0.001526722458180
374,959,4,99317156,25.000000000000000,0.001526589808850
375,960,2,99317158,25.000000000000000,0.001526600109470
376,961,1,99317159,25.000000000000000,0.001526598908650
377,964,3,99317163,25.000000000000000,0.001526610969650
378,966,4,99317698,25.000000000000000,0.001526603133240
379,967,3,99318279,25.000000000000000,0.001526620005940
380,973,2,99321028,25.000000000000000,0.001527164986760
381,974,15,99321781,25.000000000000000,0.001526963112130
382,975,8,99322995,25.000000000000000,0.001526834320090
383,976,5,99322997,25.000000000000000,0.001526805497550
384,977,18,99322998,25.000000000000000,0.001526810247120
385,978,8,99322999,25.000000000000000,0.001526797409780
386,979,6,99323001,25.000000000000000,0.001526810247120
387,980,4,99323005,25.000000000000000,0.001526790413970
388,981,2,99324097,25.000000000000000,0.001526687037500
389,982,3,99324098,25.000000000000000,0.001526703084470
390,983,6,99329027,25.000000000000000,0.001526723584460
391,984,1,99329028,25.000000000000000,0.001526725304490
392,986,1,99329030,25.000000000000000,0.001526698841620
393,987,4,99329034,25.000000000000000,0.001526691196280
394,988,1,99329035,25.000000000000000,0.001526706810380
395,989,2,99329036,25.000000000000000,0.001526706622340
396,990,3,99329040,25.000000000000000,0.001526691196280
397,991,6,99329041,25.000000000000000,0.001526716327700
398,992,16,99329043,25.000000000000000,0.001526687037500
399,993,2,99329047,25.000000000000000,0.001526703084470
400,994,40,99329049,25.000000000000000,0.001526629612040
401,995,2,99329052,25.000000000000000,0.001526708527890
402,996,32,99329055,25.000000000000000,0.001526821827000
403,997,15,99329064,25.000000000000000,0.001526687037500
404,1003,32,99337177,25.000000000000000,0.001526821827000
405,1006,17,99337706,25.000000000000000,0.001527037606470
406,1008,1,99337719,25.000000000000000,0.001526948665400
407,1009,5,99338435,25.000000000000000,0.001527041473870
408,1010,4,99338439,25.000000000000000,0.001527045000420
409,1021,18,99341587,25.000000000000000,0.001526723584460
410,1022,4,99341588,25.000000000000000,0.001526723584460
411,1023,10,99345365,25.000000000000000,0.001526691747780
412,1025,9,99345369,25.000000000000000,0.001526642200240
413,1026,2,99345372,25.000000000000000,0.001526741923630
414,1027,2,99345374,25.000000000000000,0.001526671178250
415,1028,2,99345377,25.000000000000000,0.001526671178250
416,1050,2,99447180,25.000000000000000,0.001527045898880
417,1051,7,99447181,25.000000000000000,0.001527017764710
418,1052,13,99447185,25.000000000000000,0.001527006980180
419,1053,3,99447189,25.000000000000000,0.001527052785260
420,1054,1,99447190,25.000000000000000,0.001527006573790
421,1055,5,99447194,25.000000000000000,0.001527014155560
422,1056,1,99447197,25.000000000000000,0.001527034528240
423,1057,2,99447199,25.000000000000000,0.001527014155560
424,1058,7,99447203,25.000000000000000,0.001527017764710
425,1060,11,99447609,25.000000000000000,0.001527066633450
426,1061,4,99447610,25.000000000000000,0.001527025315170
427,1063,20,99447614,25.000000000000000,0.001527015588610
428,1065,9,99461960,25.000000000000000,0.001527202893020
429,1066,4,99461964,25.000000000000000,0.001527097176430
430,1067,1,99463459,25.000000000000000,0.001527093507380
431,1068,5,99463460,25.000000000000000,0.001527100368340
432,1069,2,99463463,25.000000000000000,0.001527101867540
433,1070,2,99463465,25.000000000000000,0.001527094444640
434,1071,2,99463466,25.000000000000000,0.001527094444640
435,1072,4,99463467,25.000000000000000,0.001527153724050
436,1073,10,99464988,25.000000000000000,0.001527187734510
437,1074,3,99464989,25.000000000000000,0.001527186755590
438,1075,14,99464992,25.000000000000000,0.001527211698140
439,1077,1,99464995,25.000000000000000,0.001527184021050
440,1078,2,99464997,25.000000000000000,0.001527161245500
441,1079,1,99464999,25.000000000000000,0.001527079261640
442,1080,15,99465000,25.000000000000000,0.001527169991850
443,1081,6,99465002,25.000000000000000,0.001527186755590
444,1082,6,99465604,25.000000000000000,0.001526994096790
445,1083,3,99465605,25.000000000000000,0.001527041687980
446,1084,2,99465607,25.000000000000000,0.001527030901560
447,1085,3,99478595,25.000000000000000,0.001526671501710
448,1086,2,99478596,25.000000000000000,0.001526600122490
449,1087,2,99478597,25.000000000000000,0.001526653100410
450,1088,15,99478601,25.000000000000000,0.001526470855640
451,1089,7,99478605,25.000000000000000,0.001526657323620
452,1090,3,99478608,25.000000000000000,0.001526644493030
453,1091,2,99478611,25.000000000000000,0.001526667801750
454,1092,1,99480648,25.000000000000000,0.001526557332660
455,1093,8,99480651,25.000000000000000,0.001526492426480
